--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:09.296 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:09.296 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:09.417 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:09.417 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:09.417 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:09.447 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:09.447 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:09.457 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:09.457 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:09.457 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:09.577 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:09.577 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:09.577 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:09.617 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:09.617 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:09.627 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:09.627 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:09.627 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:09.737 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:09.737 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:09.747 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:09.787 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:09.787 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:09.797 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:09.797 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:09.797 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:09.917 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:09.917 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:09.917 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:09.967 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:09.967 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:09.987 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:09.987 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:09.987 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.097 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:10.097 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.097 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.137 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.137 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.157 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.157 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.157 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.247 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:10.267 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.267 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.307 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.307 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.317 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.317 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.317 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.438 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:10.438 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.438 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.458 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.458 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.468 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.468 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.468 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.588 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:10.588 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:10.598 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:10.638 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:10.638 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:10.648 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:10.648 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:10.648 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:10.748 I/libframegrabber(11913): ---sws_scale ED
