--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:51:47.685 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:47.795 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:47.795 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:47.805 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:47.835 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:47.835 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:47.845 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:47.845 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:47.845 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:47.945 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:47.965 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:47.965 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.005 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.005 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.015 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.015 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.015 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.116 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.126 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.126 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:48.176 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:48.176 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:48.186 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:48.186 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:48.186 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:48.306 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:48.306 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:48.306 I/SimpleVideoView(11974): ---draw_on_canvas ED
