--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:57:46.826 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:46.936 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:46.936 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:46.936 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:46.966 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:46.966 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:46.976 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:46.976 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:46.976 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.096 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.096 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.096 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.136 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.136 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.146 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.146 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.146 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.266 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.266 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.266 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.316 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.316 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.326 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.326 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.326 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.436 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.436 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.446 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.496 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.496 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.506 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.506 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.506 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.616 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.616 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.626 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.666 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.666 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.676 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.676 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.676 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.776 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.786 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.786 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.837 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.837 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.847 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.847 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.847 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:47.957 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:47.957 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:47.957 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:47.967 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:47.967 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:47.987 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:47.987 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:47.987 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.097 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.097 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.107 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:48.137 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:48.137 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:48.147 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:48.147 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:48.147 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:48.267 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:48.267 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:48.267 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:48.317 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:48.317 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:48.327 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:48.327 I/libframegrabber(12034): ---av_read_frame ED
