--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:38:36.563 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:36.693 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:36.703 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:36.703 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:36.723 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:36.723 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:36.744 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:36.744 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:36.744 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:36.874 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:36.874 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:36.874 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:36.914 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:36.914 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:36.924 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:36.924 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:36.924 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.044 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.054 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.054 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:37.094 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:37.094 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:37.114 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:37.114 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:37.114 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.224 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.234 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.244 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:37.294 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:37.294 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:37.304 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:37.304 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:37.304 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.434 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.434 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.434 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:37.484 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:37.484 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:37.494 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:37.494 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:37.494 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.624 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.624 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.624 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:37.664 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:37.664 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:37.674 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:37.674 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:37.674 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.795 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.815 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.815 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:37.815 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:37.815 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:37.825 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:37.825 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:37.825 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:37.965 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:37.965 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:37.965 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.005 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.005 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.015 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.015 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.015 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:38.145 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:38.145 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:38.145 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:38.185 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:38.185 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:38.205 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:38.205 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:38.205 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:38.315 I/libframegrabber(11862): ---sws_scale ED
